date,countryCode,country,provinceCode,province,cityCode,city,confirmed,suspected,cured,dead
2020-04-30,CN,中国,150000,内蒙古自治区,152500,锡林郭勒盟,9,0,9,0
2020-04-30,CN,中国,150000,内蒙古自治区,152900,阿拉善盟,0,0,0,0
2020-04-30,CN,中国,210000,辽宁省,,,146,0,143,2
2020-04-30,CN,中国,210000,辽宁省,2100y0,境外输入,21,0,21,0
2020-04-30,CN,中国,210000,辽宁省,210100,沈阳市,28,0,28,0
2020-04-30,CN,中国,210000,辽宁省,210200,大连市,18,0,18,0
2020-04-30,CN,中国,210000,辽宁省,210300,鞍山市,4,0,4,0
2020-04-30,CN,中国,210000,辽宁省,210400,抚顺市,1,0,0,0
2020-04-30,CN,中国,210000,辽宁省,210500,本溪市,3,0,3,0
2020-04-30,CN,中国,210000,辽宁省,210600,丹东市,11,0,11,0
2020-04-30,CN,中国,210000,辽宁省,210700,锦州市,12,0,12,0
2020-04-30,CN,中国,210000,辽宁省,210800,营口市,1,0,1,0
2020-04-30,CN,中国,210000,辽宁省,210900,阜新市,8,0,8,0
2020-04-30,CN,中国,210000,辽宁省,211000,辽阳市,3,0,3,0
2020-04-30,CN,中国,210000,辽宁省,211100,盘锦市,11,0,11,0
2020-04-30,CN,中国,210000,辽宁省,211200,铁岭市,7,0,7,0
2020-04-30,CN,中国,210000,辽宁省,211300,朝阳市,6,0,5,1
2020-04-30,CN,中国,210000,辽宁省,211400,葫芦岛市,12,0,11,1
2020-04-30,CN,中国,220000,吉林省,,,111,0,99,1
2020-04-30,CN,中国,220000,吉林省,136100,公主岭,6,0,6,0
2020-04-30,CN,中国,220000,吉林省,2200y0,境外输入,18,0,7,0
2020-04-30,CN,中国,220000,吉林省,220100,长春市,45,0,45,0
2020-04-30,CN,中国,220000,吉林省,220200,吉林市,5,0,5,0
2020-04-30,CN,中国,220000,吉林省,220300,四平市,15,0,14,1
2020-04-30,CN,中国,220000,吉林省,220400,辽源市,7,0,7,0
2020-04-30,CN,中国,220000,吉林省,220500,通化市,6,0,6,0
2020-04-30,CN,中国,220000,吉林省,220600,白山市,0,0,0,0
2020-04-30,CN,中国,220000,吉林省,220700,松原市,2,0,2,0
2020-04-30,CN,中国,220000,吉林省,220800,白城市,1,0,1,0
2020-04-30,CN,中国,220000,吉林省,220a61,梅河口,1,0,1,0
2020-04-30,CN,中国,220000,吉林省,222400,延边朝鲜族自治州,5,0,5,0
2020-04-30,CN,中国,230000,黑龙江省,,,939,0,587,13
2020-04-30,CN,中国,230000,黑龙江省,2300y0,境外输入,386,0,116,0
